id,nombre científico,nombre común,rango,zonas USDA
"erythrina_poeppigiana","Erythrina poeppigiana","Bucare","-1.1°C a 1.7°C","10a, 10b"
"erythrina_speciosa","Erythrina speciosa","Ceibo candelabro","-3.9°C a -1.1°C","9b, 10a, 10b"
"erythrina_variegata","Erythrina variegata","Ceibo variegado","-1.1°C a 1.7°C","10a, 10b"
"eucalyptus_botryoides","Eucalyptus botryoides","Eucalipto bangalay","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"eucalyptus_camaldulensis","Eucalyptus camaldulensis","Eucalipto rojo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eucalyptus_cinerea","Eucalyptus cinerea","Eucalipto medicinal, Eucalipto plateado","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"eucalyptus_globulus","Eucalyptus globulus","Eucalipto blanco, Eucalipto común","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eucalyptus_populnea","Eucalyptus populnea","Eucalipto álamo","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"eucalyptus_robusta","Eucalyptus robusta","Eucalipto pantanoso","-3.9°C a -1.1°C","9b, 10a, 10b"
"eucalyptus_saligna","Eucalyptus saligna","Eucalipto saligna","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"eucalyptus_sideroxylon","Eucalyptus sideroxylon","Eucalipto de corteza de hierro","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eucalyptus_sp","Eucalyptus sp.","Eucalipto","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eucalyptus_strzeleckii","Eucalyptus strzeleckii","Eucalipto de Strzelecki","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eucalyptus_tereticornis","Eucalyptus tereticornis","Eucalipto rojo de bosque","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eugenia_involucrata","Eugenia involucrata","Cereza del monte, Ubajay","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eugenia_myrcianthes","Eugenia myrcianthes","Ubajay","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eugenia_pungens","Eugenia pungens","Guabiyú","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"eugenia_uniflora","Eugenia uniflora","Pitanga, Ñangapirí","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"euphorbia_cotinifolia","Euphorbia cotinifolia","Lechero rojo","-1.1°C a 1.7°C","10a, 10b"
"euphorbia_pulcherrima","Euphorbia pulcherrima","Estrella federal, Flor de pascua","-3.9°C a -1.1°C","9b, 10a, 10b"
"euphorbia_sp","Euphorbia sp.","Euforbia","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"euphorbia_trigona_var_rubra","Euphorbia trigona var. rubra","Árbol africano de la leche","-1.1°C a 1.7°C","10a, 10b"
"euterpe_edulis","Euterpe edulis","Palmito, Juçara","-1.1°C a 1.7°C","10a, 10b"
"ficus_aspera","Ficus aspera","Higuera mosaico","-1.1°C a 1.7°C","10a, 10b"
"ficus_aurea","Ficus aurea","Higuera estranguladora","-1.1°C a 1.7°C","10a, 10b"
"ficus_auriculata","Ficus auriculata","Higuera de hoja de oreja de elefante","-3.9°C a -1.1°C","9b, 10a, 10b"
"ficus_benghalensis","Ficus benghalensis","Banyan, Higuera de Bengala","-1.1°C a 1.7°C","10a, 10b"
"ficus_benjamina","Ficus benjamina","Ficus benjamina, Gomero llorón","-1.1°C a 1.7°C","10a, 10b"
"ficus_benjamina_variegata","Ficus benjamina variegata","Ficus variegado","-1.1°C a 1.7°C","10a, 10b"
"ficus_carica","Ficus carica","Higuera común","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"ficus_elastica","Ficus elastica","Gomero, Árbol del caucho","-1.1°C a 1.7°C","10a, 10b"
"ficus_longifolia","Ficus longifolia","Ficus de hoja larga","-1.1°C a 1.7°C","10a, 10b"
"ficus_luschnathiana","Ficus luschnathiana","Higuerón, Ibapoy","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"ficus_lyrata","Ficus lyrata","Ficus pandurata, Higuera hoja de violín","-1.1°C a 1.7°C","10a, 10b"
"ficus_macrophylla","Ficus macrophylla","Higuera de la bahía de Moreton","-3.9°C a -1.1°C","9b, 10a, 10b"
"ficus_religiosa","Ficus religiosa","Higuera sagrada, Árbol Bo","-1.1°C a 1.7°C","10a, 10b"
"ficus_retusa","Ficus retusa","Ficus nítida","-1.1°C a 1.7°C","10a, 10b"
"ficus_rubiginosa","Ficus rubiginosa","Higuera oxidada","-3.9°C a -1.1°C","9b, 10a, 10b"
"ficus_sp","Ficus sp.","Ficus","-3.9°C a -1.1°C","9b, 10a, 10b"
"ficus_thonningii","Ficus thonningii","Higuera salvaje de África","-1.1°C a 1.7°C","10a, 10b"
"firmiana_simplex","Firmiana simplex","Parasol chino","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"firmiana_sp","Firmiana sp.","Firmiana","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"fortunella_margarita","Fortunella margarita","Kumquat, Naranjo enano","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"fraxinus_americana","Fraxinus americana","Fresno blanco americano","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"fraxinus_excelsior","Fraxinus excelsior","Fresno común, Fresno europeo","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"fraxinus_pennsylvanica","Fraxinus pennsylvanica","Fresno verde, Fresno rojo americano","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"fraxinus_sp","Fraxinus sp.","Fresno","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"gardenia_sp","Gardenia sp.","Jazmín del Cabo, Gardenia","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"geoffroea_decorticans","Geoffroea decorticans","Chañar","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"ginkgo_biloba","Ginkgo biloba","Ginkgo, Árbol de los cuarenta escudos","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"gleditsia_amorphoides","Gleditsia amorphoides","Espina de corona, Coronillo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
