id,nombre científico,nombre común,rango,zonas USDA
"phoenix_paludosa","Phoenix paludosa","Palmera de los manglares","-1.1°C a 1.7°C","10a, 10b"
"phoenix_reclinata","Phoenix reclinata","Palmera del Senegal","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"phoenix_roebelenii","Phoenix roebelenii","Palmera enana","-1.1°C a 1.7°C","10a, 10b"
"phoenix_sp","Phoenix sp.","Palmera Phoenix","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"photinia_serrulata","Photinia serrulata","Fotinia","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"photinia_sp","Photinia sp.","Fotinia","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"photinia_x_fraseri","Photinia x fraseri","Fotinia Fraser","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"phyllanthus_sp","Phyllanthus sp.","Filanto","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"phytolacca_dioica","Phytolacca dioica","Ombú","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"phytolacca_tetramera","Phytolacca tetramera","Ombücillo","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
